,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
113,Sint-Truiden,APARTMENT,APARTMENT,219000.0,1.0,57.0,INSTALLED,False,,,,True,14.0,,2,False,AS_NEW
114,Tongeren,HOUSE,HOUSE,350000.0,3.0,185.0,,False,,True,41.0,True,101.0,264,,False,
115,Tongeren,HOUSE,HOUSE,352500.0,3.0,186.0,,False,,True,41.0,True,108.0,263,,False,
116,Tongeren,HOUSE,HOUSE,355000.0,3.0,187.0,,False,,True,41.0,True,108.0,263,,False,
117,Tongeren,HOUSE,HOUSE,355000.0,3.0,187.0,,False,,True,41.0,True,111.0,263,,False,
118,Tongeren,HOUSE,HOUSE,357500.0,3.0,185.0,,False,,True,41.0,True,113.0,263,,False,
119,Tongeren,HOUSE,HOUSE,360000.0,3.0,186.0,,False,,True,44.0,True,116.0,445,,False,
120,Gouy-lez-Piéton,HOUSE,HOUSE,115000.0,1.0,117.0,INSTALLED,True,,True,10.0,True,100.0,240,2,False,TO_RENOVATE
121,Pont-à-Celles,HOUSE,HOUSE,115000.0,1.0,117.0,INSTALLED,True,,True,10.0,True,100.0,240,2,False,TO_RENOVATE
122,Grivegnée,HOUSE,HOUSE,175000.0,4.0,152.0,NOT_INSTALLED,,,,,,,70,2,False,TO_BE_DONE_UP
123,Gent,HOUSE,HOUSE,235000.0,1.0,54.0,INSTALLED,False,-1.0,,,True,260.0,902,2,,GOOD
124,Erpe-Mere,HOUSE,HOUSE,270000.0,3.0,147.0,,,,True,,,,570,3,False,TO_RENOVATE
125,Athus,HOUSE,HOUSE,320000.0,4.0,139.0,SEMI_EQUIPPED,,-1.0,True,30.0,True,,1210,3,,TO_RESTORE
126,Nivelles,HOUSE,HOUSE,325000.0,3.0,146.0,SEMI_EQUIPPED,,-1.0,True,37.0,True,200.0,340,4,,TO_BE_DONE_UP
127,VICHTE,HOUSE,APARTMENT_BLOCK,362500.0,4.0,345.0,INSTALLED,,-1.0,,,True,,237,2,,TO_BE_DONE_UP
128,VICHTE,HOUSE,MIXED_USE_BUILDING,362500.0,4.0,345.0,INSTALLED,,-1.0,,,True,,237,2,,TO_BE_DONE_UP
129,Neder-over-Heembeek,HOUSE,HOUSE,375000.0,3.0,110.0,USA_INSTALLED,False,,True,20.0,,,92,3,False,GOOD
130,Bruxelles,HOUSE,HOUSE,698000.0,3.0,200.0,USA_HYPER_EQUIPPED,False,,True,,True,500.0,600,4,,AS_NEW
131,Liège Angleur,HOUSE,HOUSE,169000.0,2.0,70.0,INSTALLED,False,,True,10.0,True,50.0,114,2,False,AS_NEW
132,Waremme,HOUSE,HOUSE,300000.0,3.0,120.0,,False,,True,20.0,True,500.0,771,3,False,GOOD
133,Braine-l'Alleud,HOUSE,MIXED_USE_BUILDING,345000.0,3.0,291.0,USA_INSTALLED,False,,True,9.0,True,10.0,140,2,False,GOOD
134,Huizingen,HOUSE,HOUSE,379000.0,3.0,118.0,INSTALLED,,-1.0,True,,,,251,3,,GOOD
135,Oudenaarde,HOUSE,HOUSE,430000.0,5.0,212.0,HYPER_EQUIPPED,False,,True,,True,138.0,233,2,False,AS_NEW
136,Bruxelles,HOUSE,VILLA,650000.0,4.0,270.0,SEMI_EQUIPPED,False,,True,32.0,True,300.0,713,4,False,TO_RENOVATE
137,Faimes,HOUSE,HOUSE,315000.0,4.0,205.0,NOT_INSTALLED,,1.0,,,True,610.0,760,4,,GOOD
138,Sombreffe,HOUSE,HOUSE,590000.0,4.0,476.0,USA_INSTALLED,,-1.0,True,50.0,True,1700.0,2868,4,,AS_NEW
139,AMPSIN,HOUSE,HOUSE,449500.0,4.0,230.0,INSTALLED,,-1.0,True,,True,,1086,4,,AS_NEW
