,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
7267,7267,https://www.immoweb.be/en/classified/house/for-sale/bressoux/4020/10629889,Wallonie,Liège,Bressoux,HOUSE,HOUSE,170000.0,3.0,98.0,INSTALLED,0,0,1,6.0,0,0.0,95,2,0,GOOD
7268,7268,https://www.immoweb.be/en/classified/house/for-sale/bressoux/4020/10629888,Wallonie,Liège,Bressoux,HOUSE,HOUSE,170000.0,3.0,104.0,INSTALLED,0,0,0,0.0,0,0.0,95,2,0,GOOD
7269,7269,https://www.immoweb.be/en/classified/house/for-sale/la%20louvi%C3%A8re%20houdeng-goegnies/7110/10367293,Wallonie,Hainaut,La Louvière Houdeng-Goegnies,HOUSE,HOUSE,170000.0,4.0,200.0,INSTALLED,0,0,1,0.0,0,0.0,0,4,0,GOOD
7270,7270,https://www.immoweb.be/en/classified/house/for-sale/maurage/7110/10603012,Wallonie,Hainaut,MAURAGE,HOUSE,HOUSE,170000.0,3.0,168.0,SEMI_EQUIPPED,0,0,1,17.0,1,0.0,208,2,0,TO_RENOVATE
7271,7271,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/10502578,Flanders,West Flanders,Brugge,HOUSE,HOUSE,178000.0,2.0,102.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,99,2,0,TO_RENOVATE
7272,7272,https://www.immoweb.be/en/classified/house/for-sale/comblain-la-tour/4180/10465469,Wallonie,Liège,COMBLAIN-LA-TOUR,HOUSE,HOUSE,179000.0,4.0,184.0,NOT_INSTALLED,0,0,0,0.0,1,0.0,314,1,0,TO_RENOVATE
7273,7273,https://www.immoweb.be/en/classified/house/for-sale/gosselies/6041/10395485,Wallonie,Hainaut,Gosselies,HOUSE,HOUSE,179000.0,2.0,142.0,INSTALLED,0,0,0,0.0,1,180.0,230,3,0,TO_BE_DONE_UP
7274,7274,https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/10621933,Flanders,West Flanders,Oostende,HOUSE,HOUSE,179000.0,4.0,170.0,INSTALLED,0,0,0,0.0,0,0.0,75,2,0,TO_RENOVATE
7275,7275,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10647776,Flanders,East Flanders,Ronse,HOUSE,HOUSE,180000.0,3.0,125.0,SEMI_EQUIPPED,0,0,1,0.0,0,0.0,150,2,0,TO_BE_DONE_UP
7276,7276,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10581522,Flanders,East Flanders,Geraardsbergen,HOUSE,HOUSE,189000.0,2.0,135.0,INSTALLED,0,0,1,8.0,0,0.0,60,2,0,GOOD
7277,7277,https://www.immoweb.be/en/classified/house/for-sale/jumet/6040/10631420,Wallonie,Hainaut,Jumet,HOUSE,HOUSE,190000.0,2.0,67.0,SEMI_EQUIPPED,0,0,0,0.0,1,0.0,330,4,0,TO_RENOVATE
7278,7278,https://www.immoweb.be/en/classified/house/for-sale/jumet/6040/10621662,Wallonie,Hainaut,Jumet,HOUSE,HOUSE,190000.0,3.0,76.0,SEMI_EQUIPPED,0,0,0,0.0,0,0.0,78,2,0,JUST_RENOVATED
7279,7279,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/10351878,Wallonie,Luxembourg,Arlon,HOUSE,HOUSE,190000.0,3.0,147.0,INSTALLED,0,0,0,0.0,1,0.0,130,3,0,TO_BE_DONE_UP
7280,7280,https://www.immoweb.be/en/classified/town-house/for-sale/halanzy/6792/10591925,Wallonie,Luxembourg,Halanzy,HOUSE,TOWN_HOUSE,190000.0,1.0,102.0,USA_SEMI_EQUIPPED,0,0,1,26.0,1,293.0,341,3,0,TO_BE_DONE_UP
7281,7281,https://www.immoweb.be/en/classified/house/for-sale/willebroek/2830/10621016,Flanders,Antwerp,Willebroek,HOUSE,HOUSE,191000.0,3.0,207.7073648685428,SEMI_EQUIPPED,0,0,0,0.0,1,0.0,143,2,0,TO_RENOVATE
7282,7282,https://www.immoweb.be/en/classified/house/for-sale/mellet/6210/10540463,Wallonie,Hainaut,Mellet,HOUSE,HOUSE,195000.0,2.0,94.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,849,3,0,TO_RENOVATE
7283,7283,https://www.immoweb.be/en/classified/villa/for-sale/doische/5680/10610368,Wallonie,Namur,Doische,HOUSE,VILLA,198000.0,4.0,180.0,INSTALLED,0,0,1,20.0,1,760.0,862,4,0,TO_BE_DONE_UP
7284,7284,https://www.immoweb.be/en/classified/house/for-sale/deux-acren/7864/10520709,Wallonie,Hainaut,Deux-Acren,HOUSE,HOUSE,200000.0,2.0,174.0,INSTALLED,0,0,1,0.0,0,0.0,145,3,0,JUST_RENOVATED
7285,7285,https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/10548093,Wallonie,Luxembourg,SAINT-HUBERT,HOUSE,HOUSE,209000.0,3.0,213.0,INSTALLED,0,0,1,0.0,1,0.0,4839,4,0,
7286,7286,https://www.immoweb.be/en/classified/house/for-sale/menen/8930/10404225,Flanders,West Flanders,Menen,HOUSE,HOUSE,209000.0,3.0,225.0,SEMI_EQUIPPED,0,0,1,0.0,1,280.0,386,2,0,TO_BE_DONE_UP
7287,7287,https://www.immoweb.be/en/classified/house/for-sale/farciennes/6240/10556566,Wallonie,Hainaut,Farciennes,HOUSE,HOUSE,210000.0,3.0,150.0,INSTALLED,0,0,0,0.0,1,0.0,520,3,0,JUST_RENOVATED
7288,7288,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10611119,Flanders,East Flanders,Ronse,HOUSE,HOUSE,210000.0,3.0,134.0,HYPER_EQUIPPED,0,0,1,0.0,1,0.0,106,2,0,GOOD
7289,7289,https://www.immoweb.be/en/classified/house/for-sale/ecaussinnes-d%27enghien/7190/10644364,Wallonie,Hainaut,Ecaussinnes-d'Enghien,HOUSE,HOUSE,215000.0,2.0,220.0,INSTALLED,0,0,1,0.0,0,0.0,375,3,0,TO_BE_DONE_UP
7290,7290,https://www.immoweb.be/en/classified/apartment/for-sale/aisemont/5070/10674643,Wallonie,Namur,AISEMONT,APARTMENT,APARTMENT,130000.0,1.0,102.0,NOT_INSTALLED,0,0,1,70.0,0,0.0,UNKNOWN,1,0,
7291,7291,https://www.immoweb.be/en/classified/apartment/for-sale/aisemont/5070/10674642,Wallonie,Namur,AISEMONT,APARTMENT,APARTMENT,125000.0,1.0,70.0,NOT_INSTALLED,0,0,1,70.0,0,0.0,UNKNOWN,4,0,
7292,7292,https://www.immoweb.be/en/classified/apartment/for-sale/aisemont/5070/10674640,Wallonie,Namur,AISEMONT,APARTMENT,APARTMENT,135000.0,1.0,61.0,NOT_INSTALLED,0,0,1,70.0,0,0.0,UNKNOWN,4,0,
7293,7293,https://www.immoweb.be/en/classified/apartment/for-sale/aisemont/5070/10674639,Wallonie,Namur,AISEMONT,APARTMENT,APARTMENT,190000.0,1.0,118.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
7294,7294,https://www.immoweb.be/en/classified/apartment-block/for-sale/gent/9000/10674638,Flanders,East Flanders,Gent,HOUSE,APARTMENT_BLOCK,765000.0,3.0,210.0,INSTALLED,0,0,1,15.0,1,55.0,151,2,0,GOOD
7295,7295,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/10621561,Flanders,East Flanders,Wetteren,HOUSE,HOUSE,439000.0,3.0,136.0,INSTALLED,0,0,0,0.0,1,30.0,100,2,0,AS_NEW
7296,7296,https://www.immoweb.be/en/classified/house/for-sale/berchem/2600/10674634,Flanders,Antwerp,Berchem,HOUSE,HOUSE,370000.0,4.0,152.0,INSTALLED,0,0,0,0.0,0,0.0,90,2,0,GOOD
7297,7297,https://www.immoweb.be/en/classified/house/for-sale/berchem/2600/10674633,Flanders,Antwerp,Berchem,HOUSE,HOUSE,429000.0,6.0,225.0,INSTALLED,0,0,1,15.0,0,0.0,99,2,0,GOOD
7298,7298,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/10674629,Flanders,Antwerp,Antwerp,HOUSE,HOUSE,1000000.0,3.0,296.0,SEMI_EQUIPPED,0,0,1,21.0,0,0.0,83,2,0,GOOD
7299,7299,https://www.immoweb.be/en/classified/house/for-sale/molenbeek-saint-jean/1080/10674628,Brussels,Brussels,MOLENBEEK-SAINT-JEAN,HOUSE,HOUSE,330000.0,4.0,220.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0,1,0,TO_RENOVATE
7300,7300,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10674626,Brussels,Brussels,BRUXELLES,APARTMENT,APARTMENT,385000.0,2.0,90.0,NOT_INSTALLED,0,0,1,10.0,0,0.0,UNKNOWN,2,0,AS_NEW
7301,7301,https://www.immoweb.be/en/classified/apartment/for-sale/amay/4540/10674617,Wallonie,Liège,Amay,APARTMENT,APARTMENT,159500.0,1.0,68.0,INSTALLED,0,0,1,7.0,0,0.0,UNKNOWN,1,0,
