locality,latitude,longitude
Gent,51.0538286,3.7250121
Heule,50.8433241,3.2348571
Ledegem,50.8689785,3.1176026
Sint-Truiden,50.8269478,5.2034249
Tongeren,50.7806267,5.4639172
Gouy-lez-Piéton,50.4875628,4.3287132
Pont-à-Celles,50.515524,4.3827159
Grivegnée,50.6192957,5.6047622
Erpe-Mere,50.9226391,3.9459888
Athus,49.5615482,5.8306932
VICHTE,50.8354873,3.4048906
Neder-over-Heembeek,50.8925777,4.3768928
Bruxelles,50.8465573,4.351697
Liège Angleur,50.6128439,5.5953129
Waremme,50.6976875,5.2546191
Braine-l'Alleud,50.6828722,4.3692706
Huizingen,50.7481095,4.276727
Oudenaarde,50.8433705,3.6041443
Faimes,50.6652169,5.2627409
Sombreffe,50.5225432,4.5991932
AMPSIN,50.540238,5.286736
Gent Zwijnaarde,51.0003917,3.7167702
FLÉMALLE-HAUTE,50.5944698,5.4564323
Hoogstraten,51.3957301,4.7440872
Schoten,51.2516344,4.4980446
Kluisbergen,50.7782986,3.5212498
Saint-Nicolas,50.3022047,2.7767966
Bonheiden,51.0261294,4.5378218
Genk,50.9654864,5.5001456
Heist-op-den-Berg,51.0625158,4.7194311
Vurste,50.9459212,3.6845236
Oostkamp,51.1532024,3.2344535
Leuven,50.879202,4.7011675
Oostende,51.2258565,2.919496
Sint-Amandsberg,51.061875,3.7488657
Hombeek,51.0158695,4.4398366
Deurne,51.4281834,5.8281069
Kortrijk,50.8276429,3.2659884
Clabecq,50.6896854,4.221802
Lier,51.131069,4.5696516
Lasne,50.6860037,4.4844157
Zwevezele,51.0361481,3.2106957
Bredene,51.2389407,2.9724493
Wommelgem,51.2031044,4.5238022
Wijchmaal,51.1362086,5.414883
Libramont-Chevigny,49.9499099,5.4370892
Andenne,50.4893981,5.0965468
Glabbeek,50.8725203,4.9513009
Tienen,50.8084317,4.9464292
Galmaarden,50.7573013,3.9569
Liedekerke,50.8711313,4.0860754
Antwerp,51.2211097,4.3997081
Pont-a-Celles,50.515524,4.3827159
Aalst,50.9383226,4.0392147
Scherpenheuvel-Zichem Messelbroek,50.9952269,4.9385703
Drongen,51.0504639,3.6639157
Geraardsbergen Moerbeke,50.7522055,3.9177687
Gent Sint-Amandsberg,51.061875,3.7488657
Deinze,50.9840526,3.5274017
Merchtem,50.9593636,4.2335677
Eeklo,51.1844827,3.5665965
Ninove,50.8214549,4.0037422
Begijnendijk,51.0242187,4.7826308
Aarschot,50.9842743,4.836429
Landen,51.5073359,-0.12765
Schilde 's Gravenwezel,51.2624856,4.5556038
Kraainem,50.8425698,4.4692034
La Roche-en-Ardenne,50.1602833,5.5627594
Temse,51.1253635,4.2133313
Dilbeek,50.8441553,4.2656748
Molenbeek-Saint-Jean,50.8545959,4.338636
Ronse,50.7526199,3.6014477
Ellezelles,50.7287148,3.6942082
Crisnee,50.715885,5.397318
Bornem,51.0909633,4.2389677
Tielt-Winge,50.9352867,4.9100433
GISTOUX,50.6839808,4.6974182
La Sauvetat sur Lede,44.4701042,0.7301136
Grez-Doiceau,50.7386182,4.6962324
Couture-Saint-Germain,50.6740792,4.4785548
CHAUMONT,48.1111324,5.1395849
OTTENBURG,48.3184687,11.5974057
BOSSUT-GOTTECHAIN,50.7616193,4.6990692
SINT-JORIS-WEERT,50.8032485,4.6524453
NETHEN,50.7838206,4.675492
NODEBAIS,50.7725266,4.733891
BRUXELLES,50.8465573,4.351697
Lubbeek,50.8821422,4.8384431
Theux,50.5358359,5.8238359
Uccle,50.8035441,4.3338445
La Louvière Besonrieux,50.5117332,4.1959634
Profondeville,50.3762043,4.8675024
Bouge,50.4765668,4.8847574
Arlon,49.6834601,5.8167711
Corroy le Grand,50.6617107,4.6747213
Lede,50.9698619,3.9878758
Paliseul,49.9035269,5.1349041
Viroinval,50.0516361,4.6270287
Herzele,50.870107,3.8990281
Beerse,51.3135296,4.8375346
Malle,51.2970123,4.6933094
Opwijk,50.9690529,4.1896665
Herne,51.5380394,7.219985
Groot-Bijgaarden,50.8707084,4.2651493
Roosdaal,50.8341383,4.0972238
Geluwe,50.8114338,3.0771637
Vlezenbeek,50.8075574,4.2319001
Poperinge,50.8527569,2.7123231
Leke,51.1034654,2.8901998
Hennuyères,50.6386981,4.1715689
Quévy,50.3677506,3.9668522
Frasnes-lez-Buissenal,50.667755,3.6194481
Baudour,50.4815271,3.8312173
Affligem,50.9035063,4.1174675
Borsbeek,51.1928907,4.488953
Lummen,51.0028181,5.1977325
Kuurne,50.8597094,3.2733215
Gits,50.9968855,3.095616
Appels,51.0294474,4.0654325
Scherpenheuvel-Zichem,50.9801033,4.9740173
Rixensart,50.7122566,4.5216218
Braine-le-Chateau,50.6808817,4.266671
Embourg,50.591638,5.6105688
Puurs-Sint-Amands,51.066411,4.2812346
Zemst,50.9842166,4.4650814
Rochefort,45.9366592,-0.9616399
Turnhout,51.3233812,4.948461
Meise,50.9341625,4.3287322
Mortsel,51.1704119,4.4566996
Ruddervoorde,51.0953149,3.2048308
HERSELT,51.0554542,4.9018135
Booischot,51.0524068,4.7784936
Essen,51.4582235,7.0158171
Bierges,50.7111796,4.5894025
Grace-Hollogne,50.6323039,5.4768436
Aywaille,50.4758998,5.6763249
Boom,51.0873789,4.3667216
Les Bons Villers Villers-Perwin,50.5262014,4.4783773
Leopoldsburg,51.1220584,5.2639394
SINT-KATELIJNE-WAVER,51.0623243,4.5114278
Ans,50.6679862,5.5077543
BLAASVELD,51.0565194,4.3723517
VILLERS-L'EVÊQUE,50.703953,5.4408151
Itterbeek,50.8395994,4.2501187
Deerlijk,50.8394007,3.3627927
Avelgem,50.7775063,3.4496662
VIERSET-BARSE,50.4811242,5.2948879
Harelbeke,50.8446096,3.3093356
Perwez,50.6234469,4.8134719
Houtaing,50.6397485,3.67998
Erembodegem,50.92009,4.0587947
Hoevenen,51.3066168,4.4046996
Merksem,51.2438894,4.4397179
Zeveneken,51.1078751,3.9000296
Rumbeke,50.9333267,3.1541566
Ath,39.355589,-82.0610404
Knokke-Heist,51.3358203,3.3058781
Houthalen-Helchteren,51.0467933,5.3780416
Gentbrugge,51.0447236,3.7588813
Jambes,50.4589561,4.8723252
Salernes,43.5640073,6.2325706
Heestert,50.7821543,3.4120184
Helkijn,50.7300021,3.3837254
Zwevegem,50.8128396,3.3331679
Izegem,50.9137743,3.2091066
